Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
KGZ,Kyrgyz Republic,2012,1168.62244675446,2.17,Lowest 25%
MDA,Moldova,2012,3044.8084324815,16.31,Highest 25%
MDG,Madagascar,2012,493.511162904211,2.96,Lowest 25%
MKD,North Macedonia,2012,5049.8265386157,8.61,50-75%
MNE,Montenegro,2012,6552.48071710904,7.78,50-75%
MNG,Mongolia,2012,4328.89001905655,2.16,Lowest 25%
PHL,Philippines,2012,2614.61644401308,6.13,25-50%
POL,Poland,2012,13087.420943321,13.93,Highest 25%
ROU,Romania,2012,8929.95366231474,11.99,50-75%
UGA,Uganda,2012,795.222867553127,15.74,Highest 25%
UKR,Ukraine,2012,3951.34228515625,7.69,50-75%
USA,United States,2012,51708.4011556577,5.0,25-50%
AFG,Afghanistan,2013,637.087099117099,15.19,Highest 25%
ARM,Armenia,2013,3680.16692158886,16.05,Highest 25%
BDI,Burundi,2013,234.844770150871,3.29,Lowest 25%
BLR,Belarus,2013,7998.0802045456,6.23,25-50%
ECU,Ecuador,2013,6109.29031510341,10.47,50-75%
HTI,Haiti,2013,1457.83221179626,12.15,50-75%
IDN,Indonesia,2013,3566.60284506078,3.74,25-50%
IRN,"Iran, Islamic Rep.",2013,6222.74194840326,12.02,50-75%
ISR,Israel,2013,37034.3161080785,10.94,50-75%
JAM,Jamaica,2013,5124.21301411137,0.96,Lowest 25%
KAZ,Kazakhstan,2013,13478.459627612,1.81,Lowest 25%
KGZ,Kyrgyz Republic,2013,1269.66303464348,2.6,Lowest 25%
MAR,Morocco,2013,3379.7431640625,20.73,Highest 25%
MDA,Moldova,2013,3321.04397795719,16.05,Highest 25%
MKD,North Macedonia,2013,5626.26115664893,7.99,50-75%
MLI,Mali,2013,901.920957644831,1.67,Lowest 25%
MNE,Montenegro,2013,7102.77882895852,9.13,50-75%
PAK,Pakistan,2013,1225.4340119198,5.61,25-50%
POL,Poland,2013,13621.9023794031,13.29,Highest 25%
ROU,Romania,2013,9497.67411615237,12.55,Highest 25%
RUS,Russian Federation,2013,15941.4482421875,4.84,25-50%
RWA,Rwanda,2013,704.92421851123,1.65,Lowest 25%
SYC,Seychelles,2013,14821.2921476077,2.82,Lowest 25%
TJK,Tajikistan,2013,1028.19704279396,6.99,25-50%
UKR,Ukraine,2013,4129.89697265625,7.21,25-50%
USA,United States,2013,53179.0127634561,4.77,25-50%
ARM,Armenia,2014,3852.11800610384,19.47,Highest 25%
BFA,Burkina Faso,2014,764.861675106225,3.13,Lowest 25%
BLR,Belarus,2014,8341.31809294883,5.78,25-50%
COM,Comoros,2014,1615.71723662012,8.94,50-75%
IDN,Indonesia,2014,3441.06808464008,4.38,25-50%
ISR,Israel,2014,38343.3046626235,11.49,50-75%
JAM,Jamaica,2014,4975.11325459872,1.6,Lowest 25%
KAZ,Kazakhstan,2014,12427.7094576939,1.93,Lowest 25%
KGZ,Kyrgyz Republic,2014,1264.52668823891,2.84,Lowest 25%
LBR,Liberia,2014,706.714490064507,22.79,Highest 25%
MDA,Moldova,2014,3289.95758568777,16.34,Highest 25%
MEX,Mexico,2014,11391.3773497683,2.45,Lowest 25%
MKD,North Macedonia,2014,5925.38592218015,8.57,50-75%
MLI,Mali,2014,947.915033288325,3.46,Lowest 25%
MNE,Montenegro,2014,7342.17339453427,8.86,50-75%
MNG,Mongolia,2014,4126.23975800524,2.98,Lowest 25%
MOZ,Mozambique,2014,697.142680444123,1.76,Lowest 25%
NIC,Nicaragua,2014,1958.37047579547,28.05,Highest 25%
POL,Poland,2014,14262.2841914116,12.61,Highest 25%
RUS,Russian Federation,2014,14055.47265625,4.87,25-50%
SDN,Sudan,2014,1275.43835449219,12.46,Highest 25%
SLV,El Salvador,2014,3666.01248913873,1.69,Lowest 25%
TJK,Tajikistan,2014,1081.54402932039,7.87,50-75%
TLS,Timor-Leste,2014,1224.74956308733,2.66,Lowest 25%
TTO,Trinidad and Tobago,2014,21908.3014555644,3.88,25-50%
UKR,Ukraine,2014,3054.908203125,7.76,50-75%
USA,United States,2014,54973.4207515712,4.9,25-50%
YEM,"Yemen, Rep.",2014,1430.16420964026,16.34,Highest 25%
ARM,Armenia,2015,3512.39350276709,22.43,Highest 25%
BEN,Benin,2015,1002.41886879614,11.13,50-75%
BLR,Belarus,2015,5967.05595058777,7.78,50-75%
BWA,Botswana,2015,6141.20394726616,4.32,25-50%
CPV,Cabo Verde,2015,3415.06266730931,3.81,25-50%
EGY,"Egypt, Arab Rep.",2015,3306.98159414141,31.22,Highest 25%
ETH,Ethiopia,2015,597.912113218663,2.12,Lowest 25%
GMB,"Gambia, The",2015,619.536364296461,0.2,Lowest 25%
IDN,Indonesia,2015,3288.22269725538,3.4,Lowest 25%
ISR,Israel,2015,36213.1041481958,11.7,50-75%
JAM,Jamaica,2015,5339.30718256806,1.58,Lowest 25%
KAZ,Kazakhstan,2015,10196.1226255982,2.54,Lowest 25%
KEN,Kenya,2015,1489.11959777284,5.86,25-50%
KGZ,Kyrgyz Republic,2015,1105.65193844261,4.71,25-50%
MDA,Moldova,2015,2749.55137054338,18.49,Highest 25%
MKD,North Macedonia,2015,5262.68671928674,10.85,50-75%
MLI,Mali,2015,838.11986940103,2.13,Lowest 25%
MMR,Myanmar,2015,1166.73305547935,14.13,Highest 25%
MNE,Montenegro,2015,6421.00307345999,10.27,50-75%
NAM,Namibia,2015,4774.10650865775,0.78,Lowest 25%
NPL,Nepal,2015,875.543635474862,8.02,50-75%
