Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,WB_Region,Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,"Region_Middle East, North Africa, Afghanistan & Pakistan",Region_North America,Region_South Asia
Poland,POL,22,7.755200220723009,13.933636363636365,24.556121305909087,9.940279353636363,2000,2021,0.6910608523809524,0.5463839857142856,0.5935475666666666,0.5991896095238095,32.64545454545455,Europe & Central Asia,False,True,False,False,False,False
Romania,ROU,15,5.0076768306549715,10.488666666666667,19.864555804000002,10.880052058666667,2000,2016,0.082413423015873,-0.2856104142857142,-0.2594911666666666,0.139344038095238,34.268181818181816,Europe & Central Asia,False,True,False,False,False,False
Russian Federation,RUS,12,-3.917867169460037,3.9608333333333334,32.861176649166666,9.828993479166666,2000,2020,-0.7026538198412698,-0.561052380952381,-0.9619904476190476,-0.8974620857142858,38.35454545454545,Europe & Central Asia,False,True,False,False,False,False
Rwanda,RWA,4,-0.6037400276012201,3.3925,18.9845912425,6.54267371,2000,2016,-0.3994419119047618,-0.278106638095238,0.1047640095238095,-0.4880839761904761,47.3,Sub-Saharan Africa,False,False,False,False,False,False
Senegal,SEN,4,-6.878004733366957,3.2925,47.853477479999995,7.03607571,2001,2018,-0.1728580333333333,-0.2768903714285714,-0.1287044142857142,-0.1588238,39.04,Sub-Saharan Africa,False,False,False,False,False,False
Serbia,SRB,11,0.14749032994862918,9.209090909090909,33.97767396363636,12.995484524545454,2003,2019,-0.286293269047619,-0.2084232285714285,-0.4697532190476191,-0.3869693761904761,34.37894736842105,Europe & Central Asia,False,True,False,False,False,False
Seychelles,SYC,2,-3.270863447094426,1.315,19.442493435000003,8.189661025,2006,2013,0.4296468563492063,0.5694770238095238,0.5726658476190476,0.3365436857142856,40.56666666666666,Sub-Saharan Africa,False,False,False,False,False,False
Sierra Leone,SLE,3,16.38119716925978,29.80666666666667,66.65747070666667,4.801508109999999,2003,2018,-0.7837531404761905,-1.2547975142857144,-0.7505068619047618,-0.8847390333333333,36.63333333333333,Sub-Saharan Africa,False,False,False,False,False,False
Slovak Republic,SVK,8,-2.6455122664518456,4.14125,22.935453655,13.09609579875,2004,2015,0.6504406634920635,0.5998583476190475,0.2778804142857142,0.3493573952380952,25.866666666666667,Europe & Central Asia,False,True,False,False,False,False
Slovenia,SVN,5,-0.9746213660457876,3.518,12.642344094,12.611050416000001,2007,2018,0.8911779999999999,0.9570400285714284,0.7866681428571428,0.8252098619047618,25.285,Europe & Central Asia,False,True,False,False,False,False
South Africa,ZAF,3,-1.8484732498465444,1.9033333333333333,8.606564203333333,12.949882506666667,2005,2014,0.2255037238095237,0.3057477095238095,0.122320238095238,0.0603639714285714,61.16,Sub-Saharan Africa,False,False,False,False,False,False
