iso3,year,fpe_score,CHE_pc,OOP_pct,GGHE_pct,CHE_pct_GDP,UHC_index,Impoverishing_incidence,CHE_incidence_10
PAK,2010,1.0,23.62846184,0.0,2.88974142,2.42967653,31.50767314191679,1.5179999999999998,5.06
POL,2010,0.5638828651443342,809.19940186,0.0,9.98204041,6.43533468,44.86933904873608,12.518999999999998,41.73
PSE,2010,1.0,219.44699097,0.0,9.46368885,9.10499382,36.5046546648541,6.519,21.73
ROU,2010,0.6089468068798014,472.20751953,0.0,11.44624329,5.63882685,42.75227862272782,10.671,35.57
UKR,2010,0.9999892902030685,199.49559021,0.0,7.50049877,6.81387615,37.41265855713425,5.394,17.98
ARM,2011,0.3487277191272578,325.29086304,28.52923185580181,6.70101976,9.37588882,37.92264459566837,8.823,29.41
BIH,2011,0.34481322656700764,456.96905518,0.0,13.38013935,9.1712122,40.00885918806165,7.2989999999999995,24.33
BLR,2011,0.4882658625181577,317.82492065,0.0,7.66490793,4.87452745,41.42769039457269,5.726999999999999,19.09
COG,2011,0.9999999999593187,59.51348114,0.0,2.33683133,1.75237322,37.99523773923228,4.176,13.92
GEO,2011,0.4635042745585567,315.29684448,36.037740936680265,5.04166079,7.88224316,39.00971467669162,14.252999999999998,47.51
GTM,2011,0.4271614888074967,191.24732971,0.0,13.75957489,5.96306896,37.63155941393957,5.792999999999999,19.31
IDN,2011,1.0,107.00540161,0.0,3.96251845,2.98942471,38.27135989201801,2.106,7.02
KAZ,2011,0.8317203886684836,293.73300171,0.0,8.67686558,2.60236669,44.304713164658374,3.621,12.07
LVA,2011,1.0,764.59179688,0.0,8.57539368,5.91758251,45.00748727564517,13.860000000000001,46.2
MDA,2011,0.320572049286781,214.98246765,0.0,13.03699017,9.09670353,37.24003898483052,9.465,31.55
PAK,2011,0.9999999996639306,25.02491379,0.0,2.54319167,2.23121333,32.22436286923625,1.422,4.74
POL,2011,0.4186653887113391,866.09466553,0.0,10.05437851,6.24533606,45.386471274825624,12.489,41.63
PRT,2011,0.9919421467770041,2255.96923828,0.0,12.53102016,9.71847439,48.100692137806945,11.036999999999999,36.79
ROU,2011,0.5289839401746016,426.59973145,0.0,8.84608936,4.47503996,43.43254394622261,11.529,38.43
TCD,2011,0.8760161256976862,37.35868073,0.0,3.68802667,2.85585785,32.98486001657864,4.125,13.75
TZA,2011,1.0,37.75179672,0.0,6.76211929,5.0559845,30.23963042567292,3.8009999999999997,12.67
UKR,2011,0.4210875906252761,240.17747498,0.0,7.49281168,6.81669855,38.38349524335376,5.246999999999999,17.49
ALB,2012,1.0,260.68319702,0.0,8.69734573,6.08504725,39.21142489555151,7.715999999999999,25.72
